set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0000220	6	GO:0000221	5	26	0.0875510204081633	7.18720355051622e-55	2.91670738835557	vacuolar proton-transporting V-type ATPase, V0 domain	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0006003	5	GO:0030388	5	25	0.0762755102040816	6.8526148108545e-54	2.90662776174864	fructose 2,6-bisphosphate metabolic process	fructose 1,6-bisphosphate metabolic process
GO:0004331	5	GO:0030388	5	25	0.0762755102040816	6.8526148108545e-54	2.90662776174864	fructose-2,6-bisphosphate 2-phosphatase activity	fructose 1,6-bisphosphate metabolic process
GO:0006002	7	GO:0006003	5	25	0.100918367346939	7.35309484961525e-51	2.86827493893731	fructose 6-phosphate metabolic process	fructose 2,6-bisphosphate metabolic process
GO:0004331	5	GO:0006002	7	25	0.100918367346939	7.35309484961525e-51	2.86827493893731	fructose-2,6-bisphosphate 2-phosphatase activity	fructose 6-phosphate metabolic process
GO:0000221	5	GO:0033176	5	22	0.078265306122449	3.76051826360777e-46	2.8126940668036	vacuolar proton-transporting V-type ATPase, V1 domain	proton-transporting V-type ATPase complex
GO:0000813	10	GO:0000814	3	24	0.12	1.14187388733082e-46	2.81091494172236	ESCRT I complex	ESCRT II complex
GO:0000221	5	GO:0016471	6	21	0.0795918367346939	1.50280508299485e-43	2.77760441618327	vacuolar proton-transporting V-type ATPase, V1 domain	vacuolar proton-transporting V-type ATPase complex
GO:0042813	12	GO:0061180	6	31	0.293877551020408	2.98203902718699e-51	2.77586476136579	Wnt receptor activity	mammary gland epithelium development
GO:0003873	4	GO:0030388	5	20	0.0596938775510204	1.27804595252765e-43	2.7753282365039	6-phosphofructo-2-kinase activity	fructose 1,6-bisphosphate metabolic process
GO:0008417	9	GO:0008499	10	30	0.301020408163265	6.42278052422312e-49	2.74483689913521	fucosyltransferase activity	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity
GO:0003873	4	GO:0006002	7	20	0.0789795918367347	3.40023420967292e-41	2.74401440247261	6-phosphofructo-2-kinase activity	fructose 6-phosphate metabolic process
GO:0071986	6	GO:1990131	4	24	0.170816326530612	5.17386166831257e-43	2.7404214296467	Ragulator complex	Gtr1-Gtr2 GTPase complex
GO:0016167	5	GO:0030116	4	17	0.0185714285714286	1.02727001911291e-44	2.73212183799234	glial cell-derived neurotrophic factor receptor activity	glial cell-derived neurotrophic factor receptor binding
GO:0042813	12	GO:0070307	8	27	0.248979591836735	3.59075591168209e-45	2.72760815503818	Wnt receptor activity	lens fiber cell development
GO:0000177	12	GO:0000958	2	22	0.137602040816327	8.746336292466e-41	2.72395232486316	cytoplasmic exosome (RNase complex)	mitochondrial mRNA catabolic process
GO:0000177	12	GO:0000962	2	22	0.137602040816327	8.746336292466e-41	2.72395232486316	cytoplasmic exosome (RNase complex)	positive regulation of mitochondrial RNA catabolic process
GO:0000177	12	GO:0045025	2	22	0.137602040816327	8.746336292466e-41	2.72395232486316	cytoplasmic exosome (RNase complex)	mitochondrial degradosome
GO:0019367	7	GO:0030497	6	20	0.095969387755102	1.6475543030337e-39	2.71751147953315	fatty acid elongation, saturated fatty acid	fatty acid elongation
GO:0006625	8	GO:0016560	3	19	0.0776020408163265	6.1727831850914e-39	2.70990470516135	protein targeting to peroxisome	protein import into peroxisome matrix, docking
GO:0008499	10	GO:0036065	8	27	0.26530612244898	1.96383891467809e-44	2.70897667488281	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity	fucosylation
GO:0042813	11	GO:1904948	5	24	0.196045918367347	1.38726053822843e-41	2.70782582492432	Wnt receptor activity	midbrain dopaminergic neuron differentiation
GO:0008417	9	GO:0008532	5	21	0.126428571428571	2.38781707655891e-39	2.70686820320683	fucosyltransferase activity	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity
GO:0000177	12	GO:0000965	3	22	0.151836734693878	7.52416164659975e-40	2.70419396419642	cytoplasmic exosome (RNase complex)	mitochondrial RNA 3'-end processing
GO:0030119	7	GO:0030124	4	20	0.106683673469388	1.35429689446254e-38	2.70128511205072	AP-type membrane coat adaptor complex	AP-4 adaptor complex
GO:0001614	7	GO:0097553	5	18	0.0601020408163265	1.54503629597565e-38	2.70012332798356	purinergic nucleotide receptor activity	calcium ion transmembrane import into cytosol
GO:0004931	7	GO:0097553	5	18	0.0601020408163265	1.54503629597565e-38	2.70012332798356	extracellularly ATP-gated monoatomic cation channel activity	calcium ion transmembrane import into cytosol
GO:0005945	3	GO:0006000	7	18	0.0626785714285714	3.28107716897151e-38	2.69586434390093	6-phosphofructokinase complex	fructose metabolic process
GO:0003872	3	GO:0006000	7	18	0.0626785714285714	3.28107716897151e-38	2.69586434390093	6-phosphofructokinase activity	fructose metabolic process
GO:0001614	7	GO:1904062	5	18	0.063265306122449	3.87804209532397e-38	2.69489798135024	purinergic nucleotide receptor activity	regulation of monoatomic cation transmembrane transport
GO:0004931	7	GO:1904062	5	18	0.063265306122449	3.87804209532397e-38	2.69489798135024	extracellularly ATP-gated monoatomic cation channel activity	regulation of monoatomic cation transmembrane transport
GO:0045040	11	GO:0061617	9	27	0.278698979591837	7.32787266035354e-44	2.69404435466179	protein insertion into mitochondrial outer membrane	MICOS complex
GO:0150059	4	GO:1990410	5	17	0.0422448979591837	1.17426902486768e-38	2.68998737954354	amylin receptor 1 signaling pathway	adrenomedullin receptor signaling pathway
GO:0001614	7	GO:0004972	5	18	0.0695918367346939	2.14327718082198e-37	2.68455949040556	purinergic nucleotide receptor activity	NMDA glutamate receptor activity
GO:0004931	7	GO:0004972	5	18	0.0695918367346939	2.14327718082198e-37	2.68455949040556	extracellularly ATP-gated monoatomic cation channel activity	NMDA glutamate receptor activity
GO:0036513	7	GO:1904153	9	23	0.190816326530612	9.16764790313852e-40	2.68424437436425	Derlin-1 retrotranslocation complex	negative regulation of retrograde protein transport, ER to cytosol
GO:0035590	9	GO:0097553	5	18	0.0756122448979592	9.48878915889441e-37	2.67485696097406	purinergic nucleotide receptor signaling pathway	calcium ion transmembrane import into cytosol
GO:0008417	9	GO:0030311	5	21	0.150510204081633	9.08145969718711e-38	2.67303091590894	fucosyltransferase activity	poly-N-acetyllactosamine biosynthetic process
GO:0001614	7	GO:0098976	7	18	0.0790816326530612	2.12073574090365e-36	2.66932437899259	purinergic nucleotide receptor activity	excitatory chemical synaptic transmission
GO:0004931	7	GO:0098976	7	18	0.0790816326530612	2.12073574090365e-36	2.66932437899259	extracellularly ATP-gated monoatomic cation channel activity	excitatory chemical synaptic transmission
GO:0035590	9	GO:1904062	5	18	0.0795918367346939	2.37984617213907e-36	2.66851433115851	purinergic nucleotide receptor signaling pathway	regulation of monoatomic cation transmembrane transport
GO:0001614	7	GO:0017146	6	18	0.0822448979591837	4.28336867451242e-36	2.6643166837869	purinergic nucleotide receptor activity	NMDA selective glutamate receptor complex
GO:0004931	7	GO:0017146	6	18	0.0822448979591837	4.28336867451242e-36	2.6643166837869	extracellularly ATP-gated monoatomic cation channel activity	NMDA selective glutamate receptor complex
GO:0004972	5	GO:0035590	9	18	0.0875510204081633	1.31323739236711e-35	2.65599396642016	NMDA glutamate receptor activity	purinergic nucleotide receptor signaling pathway
GO:0000177	12	GO:0000957	5	22	0.189795918367347	9.8336468814343e-38	2.65400710474264	cytoplasmic exosome (RNase complex)	mitochondrial RNA catabolic process
GO:0030681	9	GO:0097745	3	18	0.0914285714285714	2.85444212800279e-35	2.64997213756113	multimeric ribonuclease P complex	mitochondrial tRNA 5'-end processing
GO:0033204	9	GO:0097745	3	18	0.0914285714285714	2.85444212800279e-35	2.64997213756113	ribonuclease P RNA binding	mitochondrial tRNA 5'-end processing
GO:0030678	3	GO:0030681	9	18	0.0914285714285714	2.85444212800279e-35	2.64997213756113	mitochondrial ribonuclease P complex	multimeric ribonuclease P complex
GO:0030678	3	GO:0033204	9	18	0.0914285714285714	2.85444212800279e-35	2.64997213756113	mitochondrial ribonuclease P complex	ribonuclease P RNA binding
GO:0042043	12	GO:0042297	5	17	0.0669387755102041	2.87078112604212e-35	2.64851132477294	neurexin family protein binding	vocal learning
GO:0035590	9	GO:0098976	7	18	0.0994897959183673	1.29641576196338e-34	2.63761168892177	purinergic nucleotide receptor signaling pathway	excitatory chemical synaptic transmission
GO:0005391	6	GO:1903278	4	16	0.0481377551020408	3.79733653311401e-35	2.63711183917718	P-type sodium:potassium-exchanging transporter activity	positive regulation of sodium ion export across plasma membrane
GO:0044284	8	GO:0045040	11	24	0.255229591836735	7.3662924195412e-39	2.63669045615234	mitochondrial crista junction	protein insertion into mitochondrial outer membrane
GO:0009101	9	GO:0018243	8	16	0.0485714285714286	4.38149736334042e-35	2.63637290941189	glycoprotein biosynthetic process	protein O-linked glycosylation via threonine
GO:0042043	12	GO:0097109	4	16	0.0506122448979592	8.44858721026264e-35	2.63290571926908	neurexin family protein binding	neuroligin family protein binding
GO:0017146	6	GO:0035590	9	18	0.103469387755102	2.6164202292436e-34	2.63158690750274	NMDA selective glutamate receptor complex	purinergic nucleotide receptor signaling pathway
GO:0008503	11	GO:0098957	3	16	0.053265306122449	1.90862701817882e-34	2.62842314377074	benzodiazepine receptor activity	anterograde axonal transport of mitochondrion
GO:0002141	4	GO:0050957	6	16	0.0535714285714286	2.09130207720761e-34	2.62790771143695	stereocilia ankle link	equilibrioception
GO:0050957	6	GO:1990696	4	16	0.0535714285714286	2.09130207720761e-34	2.62790771143695	equilibrioception	USH2 complex
GO:0005861	7	GO:0005862	4	17	0.0825	9.88129632326022e-34	2.6235487121071	troponin complex	muscle thin filament tropomyosin
GO:0006474	8	GO:0031417	3	15	0.0299234693877551	1.02682601545173e-35	2.62339666805034	N-terminal protein amino acid acetylation	NatC complex
GO:0036156	4	GO:0036157	10	16	0.0569642857142857	5.56853624309015e-34	2.62221952969493	inner dynein arm	outer dynein arm
GO:0008532	5	GO:0036065	8	18	0.111428571428571	9.85730120984431e-34	2.61968623432831	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity	fucosylation
GO:0008499	10	GO:0042355	8	24	0.270408163265306	2.9043822967285e-38	2.61952329158525	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity	L-fucose catabolic process
GO:0050957	6	GO:0060113	5	16	0.0586734693877551	8.92212626738546e-34	2.61937095475748	equilibrioception	inner ear receptor cell differentiation
GO:0008532	5	GO:0042355	8	18	0.113571428571429	1.38606024325151e-33	2.6165154708914	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity	L-fucose catabolic process
GO:0000958	2	GO:0101019	9	18	0.113928571428571	1.45736441404311e-33	2.6159883627054	mitochondrial mRNA catabolic process	nucleolar exosome (RNase complex)
GO:0000962	2	GO:0101019	9	18	0.113928571428571	1.45736441404311e-33	2.6159883627054	positive regulation of mitochondrial RNA catabolic process	nucleolar exosome (RNase complex)
GO:0045025	2	GO:0101019	9	18	0.113928571428571	1.45736441404311e-33	2.6159883627054	mitochondrial degradosome	nucleolar exosome (RNase complex)
GO:0030905	4	GO:0030906	4	16	0.0611479591836735	1.71765388960072e-33	2.61526672868232	retromer, tubulation complex	retromer, cargo-selective complex
GO:0016176	6	GO:0106292	5	16	0.0619897959183674	2.14372016637293e-33	2.61387575222801	superoxide-generating NADPH oxidase activator activity	superoxide-generating NADPH oxidase activity
GO:1903278	5	GO:1903416	3	15	0.0355102040816327	1.32854425891027e-34	2.61351225830177	positive regulation of sodium ion export across plasma membrane	response to glycoside
GO:0000177	11	GO:0000460	6	20	0.169132653061225	1.28375419205618e-34	2.61334892144654	cytoplasmic exosome (RNase complex)	maturation of 5.8S rRNA
GO:0019367	7	GO:0102158	4	16	0.0639795918367347	3.54727676078164e-33	2.61059861300216	fatty acid elongation, saturated fatty acid	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity
GO:0099590	6	GO:1902514	9	18	0.120204081632653	3.82609987381663e-33	2.60678861698105	neurotransmitter receptor internalization	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0030124	4	GO:0044599	4	16	0.0663520408163265	6.31295427663801e-33	2.60671061382455	AP-4 adaptor complex	AP-5 adaptor complex
GO:0071986	6	GO:1990130	5	21	0.20640306122449	6.53352068318325e-35	2.60012097107442	Ragulator complex	GATOR1 complex
GO:0000965	3	GO:0101019	9	18	0.125714285714286	8.52839783869675e-33	2.59880641132904	mitochondrial RNA 3'-end processing	nucleolar exosome (RNase complex)
GO:0016175	8	GO:0016176	5	16	0.0718367346938776	2.24680867607544e-32	2.59780165048737	superoxide-generating NAD(P)H oxidase activity	superoxide-generating NADPH oxidase activator activity
GO:0038018	2	GO:0042813	12	18	0.126530612244898	9.57479068645097e-33	2.59763133874918	Wnt receptor catabolic process	Wnt receptor activity
GO:1903278	5	GO:1990239	5	15	0.0453061224489796	5.09810654132849e-33	2.59650106418046	positive regulation of sodium ion export across plasma membrane	steroid hormone binding
GO:0005945	3	GO:0006003	5	15	0.045765306122449	5.91112773573017e-33	2.59571342349753	6-phosphofructokinase complex	fructose 2,6-bisphosphate metabolic process
GO:0003872	3	GO:0006003	5	15	0.045765306122449	5.91112773573017e-33	2.59571342349753	6-phosphofructokinase activity	fructose 2,6-bisphosphate metabolic process
GO:0004331	5	GO:0005945	3	15	0.045765306122449	5.91112773573017e-33	2.59571342349753	fructose-2,6-bisphosphate 2-phosphatase activity	6-phosphofructokinase complex
GO:0003872	3	GO:0004331	5	15	0.045765306122449	5.91112773573017e-33	2.59571342349753	6-phosphofructokinase activity	fructose-2,6-bisphosphate 2-phosphatase activity
GO:0000012	8	GO:0006287	9	17	0.101428571428571	3.25132412567433e-32	2.59430461668563	single strand break repair	base-excision repair, gap-filling
GO:0000177	12	GO:0034458	3	19	0.156581632653061	3.55132636127733e-33	2.59388062153046	cytoplasmic exosome (RNase complex)	3'-5' RNA helicase activity
GO:0016556	8	GO:1990247	9	19	0.15719387755102	3.82242935839545e-33	2.59305029335769	mRNA modification	N6-methyladenosine-containing RNA reader activity
GO:0006690	8	GO:0019372	7	16	0.07625	5.80837772301403e-32	2.5907120822125	icosanoid metabolic process	lipoxygenase pathway
GO:0030311	5	GO:0036065	8	18	0.13265306122449	2.22844110046524e-32	2.58887878420396	poly-N-acetyllactosamine biosynthetic process	fucosylation
GO:0006896	8	GO:0030131	5	17	0.105867346938776	6.70609093889864e-32	2.58761510178503	Golgi to vacuole transport	clathrin adaptor complex
GO:0030311	5	GO:0042355	8	18	0.135204081632653	3.13225719396631e-32	2.58526299958842	poly-N-acetyllactosamine biosynthetic process	L-fucose catabolic process
GO:1904153	9	GO:1904380	12	19	0.166964285714286	1.19091603438709e-32	2.57992735798176	negative regulation of retrograde protein transport, ER to cytosol	endoplasmic reticulum mannose trimming
GO:0006000	6	GO:0070095	4	15	0.0551020408163265	9.51881907190717e-32	2.57988181169986	fructose metabolic process	fructose-6-phosphate binding
GO:0004556	5	GO:0004558	5	15	0.0551020408163265	9.51881907190717e-32	2.57988181169986	alpha-amylase activity	alpha-1,4-glucosidase activity
GO:0098970	7	GO:1902514	9	18	0.139591836734694	5.54264076638656e-32	2.57908593438449	postsynaptic neurotransmitter receptor diffusion trapping	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0005513	10	GO:0016286	4	16	0.0836734693877551	2.55028184548607e-31	2.57894181751279	detection of calcium ion	small conductance calcium-activated potassium channel activity
GO:0006690	8	GO:0034440	6	16	0.0855867346938775	3.6551503538689e-31	2.57593911779569	icosanoid metabolic process	lipid oxidation
GO:0008503	11	GO:0048311	6	16	0.087295918367347	5.00733342239818e-31	2.57326723570893	benzodiazepine receptor activity	mitochondrion distribution
GO:0006690	8	GO:0051122	8	16	0.0886989795918367	6.453987884171e-31	2.57108127223964	icosanoid metabolic process	hepoxilin biosynthetic process
GO:0071028	8	GO:0071034	3	18	0.145714285714286	1.19331929491174e-31	2.57055422617088	nuclear mRNA surveillance	CUT catabolic process
GO:0030497	6	GO:0034625	6	15	0.0639795918367347	8.87311430597841e-31	2.56514436490306	fatty acid elongation	fatty acid elongation, monounsaturated fatty acid
GO:0030497	6	GO:0034626	6	15	0.0639795918367347	8.87311430597841e-31	2.56514436490306	fatty acid elongation	fatty acid elongation, polyunsaturated fatty acid
GO:0009922	6	GO:0030497	6	15	0.0639795918367347	8.87311430597841e-31	2.56514436490306	fatty acid elongase activity	fatty acid elongation
GO:0042813	12	GO:0061184	2	18	0.151020408163265	2.26035956324163e-31	2.56324083323541	Wnt receptor activity	positive regulation of dermatome development
GO:0008331	11	GO:0099590	6	18	0.155	3.59641578016096e-31	2.55780404002395	high voltage-gated calcium channel activity	neurotransmitter receptor internalization
GO:1990131	2	GO:1990877	8	16	0.0984948979591837	3.39800778245746e-30	2.5560011080463	Gtr1-Gtr2 GTPase complex	FNIP-folliculin RagC/D GAP
GO:0000957	5	GO:0101019	9	18	0.157142857142857	4.5953823744132e-31	2.55489342065959	mitochondrial RNA catabolic process	nucleolar exosome (RNase complex)
GO:0018812	7	GO:0019367	7	16	0.100331632653061	4.58545981456812e-30	2.55320834112976	3-hydroxyacyl-CoA dehydratase activity	fatty acid elongation, saturated fatty acid
GO:0034458	3	GO:0101019	9	17	0.129642857142857	2.05348943109863e-30	2.55280321711095	3'-5' RNA helicase activity	nucleolar exosome (RNase complex)
GO:0098943	8	GO:1902514	9	18	0.158979591836735	5.65467247614514e-31	2.55240791755579	neurotransmitter receptor transport, postsynaptic endosome to lysosome	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0008331	8	GO:1990454	6	17	0.130102040816327	2.17975640982845e-30	2.55214714837955	high voltage-gated calcium channel activity	L-type voltage-gated calcium channel complex
GO:0000958	2	GO:0034475	8	16	0.102091836734694	6.01033613848806e-30	2.55054204754043	mitochondrial mRNA catabolic process	U4 snRNA 3'-end processing
GO:0000962	2	GO:0034475	8	16	0.102091836734694	6.01033613848806e-30	2.55054204754043	positive regulation of mitochondrial RNA catabolic process	U4 snRNA 3'-end processing
GO:0034475	8	GO:0045025	2	16	0.102091836734694	6.01033613848806e-30	2.55054204754043	U4 snRNA 3'-end processing	mitochondrial degradosome
GO:0030049	10	GO:0097513	3	18	0.161632653061224	7.59793164653479e-31	2.5488327986228	muscle filament sliding	myosin II filament
GO:0031629	8	GO:0035493	7	15	0.0798979591836735	2.44911926458798e-29	2.53944981898471	synaptic vesicle fusion to presynaptic active zone membrane	SNARE complex assembly
GO:0016247	9	GO:1902514	9	18	0.168673469387755	1.62599038201649e-30	2.53943000582752	channel regulator activity	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0035721	10	GO:0097731	5	16	0.110204081632653	2.03941567047612e-29	2.53837970483973	intraciliary retrograde transport	9+0 non-motile cilium
GO:0000965	3	GO:0034475	8	16	0.11265306122449	2.89221244171594e-29	2.53474799159046	mitochondrial RNA 3'-end processing	U4 snRNA 3'-end processing
GO:0031415	5	GO:0031417	3	13	0.023469387755102	1.02986076879035e-31	2.53446309363087	NatA complex	NatC complex
GO:0008532	5	GO:0017083	6	15	0.0835714285714286	4.79012475257959e-29	2.53364806502463	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity
GO:0008532	5	GO:0046920	6	15	0.0835714285714286	4.79012475257959e-29	2.53364806502463	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity	alpha-(1->3)-fucosyltransferase activity
GO:0000578	3	GO:0042813	11	17	0.143877551020408	1.19072577521961e-29	2.53273752393429	embryonic axis specification	Wnt receptor activity
GO:0050957	6	GO:1990075	6	14	0.0548469387755102	2.42938279892109e-29	2.53179755693886	equilibrioception	periciliary membrane compartment
GO:0005111	5	GO:0090080	4	13	0.0258163265306122	3.54761985148852e-31	2.53022690298819	type 2 fibroblast growth factor receptor binding	positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway
GO:0036396	8	GO:1990247	9	18	0.179081632653061	4.73058068664316e-30	2.52575094801729	RNA N6-methyladenosine methyltransferase complex	N6-methyladenosine-containing RNA reader activity
GO:0008331	11	GO:0098970	7	18	0.18	5.18230612830572e-30	2.52455633413049	high voltage-gated calcium channel activity	postsynaptic neurotransmitter receptor diffusion trapping
GO:0004971	4	GO:2000311	13	15	0.0919387755102041	1.98863231332551e-28	2.52060460122539	AMPA glutamate receptor activity	regulation of AMPA receptor activity
GO:1990408	5	GO:1990410	4	13	0.0330612244897959	8.78080169261567e-30	2.51730472724048	calcitonin gene-related peptide receptor signaling pathway	adrenomedullin receptor signaling pathway
GO:0004556	5	GO:0005980	9	15	0.0941326530612245	2.82673643719636e-28	2.51722333996494	alpha-amylase activity	glycogen catabolic process
GO:0042813	12	GO:0060492	2	16	0.126530612244898	1.83147835294601e-28	2.51450666709972	Wnt receptor activity	lung induction
GO:0017083	6	GO:0030311	5	15	0.0994897959183673	6.45176505062971e-28	2.50903276917321	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity	poly-N-acetyllactosamine biosynthetic process
GO:0030311	5	GO:0046920	6	15	0.0994897959183673	6.45176505062971e-28	2.50903276917321	poly-N-acetyllactosamine biosynthetic process	alpha-(1->3)-fucosyltransferase activity
GO:0001816	7	GO:0003953	9	13	0.0385714285714286	6.48068175190125e-29	2.50762928012212	cytokine production	NAD+ nucleosidase activity
GO:0030126	13	GO:0048205	6	15	0.102091836734694	9.47996368098452e-28	2.50508779944132	COPI vesicle coat	COPI coating of Golgi vesicle
GO:0002142	5	GO:0050957	5	13	0.0424744897959184	2.26078261686283e-28	2.50085351917948	stereocilia ankle link complex	equilibrioception
GO:0016562	5	GO:0045046	5	14	0.07375	1.50789347116163e-27	2.50075310344802	protein import into peroxisome matrix, receptor recycling	protein import into peroxisome membrane
GO:0008499	10	GO:0017083	6	18	0.198979591836735	3.09290539298695e-29	2.50030049886727	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity
GO:0008499	10	GO:0046920	6	18	0.198979591836735	3.09290539298695e-29	2.50030049886727	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity	alpha-(1->3)-fucosyltransferase activity
GO:0000460	6	GO:0101019	8	16	0.137295918367347	6.69569518945597e-28	2.49918684950985	maturation of 5.8S rRNA	nucleolar exosome (RNase complex)
GO:0022009	4	GO:0042813	12	18	0.2	3.3879212311225e-29	2.49901924183336	central nervous system vasculogenesis	Wnt receptor activity
GO:0033263	7	GO:1902501	2	13	0.0440816326530612	3.65839258302384e-28	2.49808189415601	CORVET complex	lysosomal HOPS complex
GO:0001602	4	GO:0031841	3	12	0.013265306122449	6.11658909409751e-32	2.49712095778932	pancreatic polypeptide receptor activity	neuropeptide Y receptor binding
GO:0021871	3	GO:0042813	12	16	0.138775510204082	7.9373306065071e-28	2.49710648626662	forebrain regionalization	Wnt receptor activity
GO:0030388	5	GO:0047617	10	15	0.107780612244898	2.1268448764806e-27	2.49653742973436	fructose 1,6-bisphosphate metabolic process	fatty acyl-CoA hydrolase activity
GO:0000957	5	GO:0034475	8	16	0.140816326530612	1.00065304889073e-27	2.4942468293185	mitochondrial RNA catabolic process	U4 snRNA 3'-end processing
GO:0008331	11	GO:0098943	8	18	0.205	5.25904398250001e-29	2.49277376974176	high voltage-gated calcium channel activity	neurotransmitter receptor transport, postsynaptic endosome to lysosome
GO:0000813	10	GO:0046761	7	20	0.268571428571429	1.2134426018708e-30	2.49227798512493	ESCRT I complex	viral budding from plasma membrane
GO:0030049	10	GO:0042641	6	18	0.205408163265306	5.44863916153722e-29	2.49226631455344	muscle filament sliding	actomyosin
GO:1902514	9	GO:2000311	13	18	0.205510204081633	5.49703536487462e-29	2.49213950651577	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	regulation of AMPA receptor activity
GO:0000172	8	GO:0097745	3	14	0.0791836734693878	4.05881787818113e-27	2.49207114969102	ribonuclease MRP complex	mitochondrial tRNA 5'-end processing
GO:0000172	8	GO:0030678	3	14	0.0791836734693878	4.05881787818113e-27	2.49207114969102	ribonuclease MRP complex	mitochondrial ribonuclease P complex
GO:0004983	8	GO:0031841	3	12	0.0173469387755102	1.52539862232097e-30	2.48957738556018	neuropeptide Y receptor activity	neuropeptide Y receptor binding
GO:0033278	2	GO:0042813	10	15	0.113392857142857	4.53030558992789e-27	2.48820024974583	cell proliferation in midbrain	Wnt receptor activity
GO:0140331	7	GO:0140351	3	12	0.0192857142857143	5.42951192530086e-30	2.48602163756688	aminophospholipid translocation	glycosylceramide flippase activity
GO:0016183	4	GO:0030131	4	13	0.0516326530612245	2.83738262497611e-27	2.48520034612347	synaptic vesicle coating	clathrin adaptor complex
GO:0002115	7	GO:0070679	7	13	0.051734693877551	2.91087473890615e-27	2.48502783685075	store-operated calcium entry	inositol 1,4,5 trisphosphate binding
GO:0034458	3	GO:0034475	8	15	0.116173469387755	6.49852454956706e-27	2.4841049821131	3'-5' RNA helicase activity	U4 snRNA 3'-end processing
GO:0009257	2	GO:0046655	9	13	0.0529336734693878	3.91644540120342e-27	2.48300393715809	10-formyltetrahydrofolate biosynthetic process	folic acid metabolic process
GO:0004329	2	GO:0046655	9	13	0.0529336734693878	3.91644540120342e-27	2.48300393715809	formate-tetrahydrofolate ligase activity	folic acid metabolic process
GO:0016558	7	GO:0016560	2	13	0.0543877551020408	5.56285846940692e-27	2.48055701549939	protein import into peroxisome matrix	protein import into peroxisome matrix, docking
GO:0000460	6	GO:0000467	5	15	0.120331632653061	1.09702178762087e-26	2.47802392177486	maturation of 5.8S rRNA	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0008331	11	GO:0016247	9	18	0.2175	1.50821734570079e-28	2.47739264285642	high voltage-gated calcium channel activity	channel regulator activity
GO:0042297	5	GO:0098983	4	12	0.0240561224489796	7.66879962707449e-29	2.47734652826344	vocal learning	symmetric, GABA-ergic, inhibitory synapse
GO:0042297	5	GO:0098985	4	12	0.0240561224489796	7.66879962707449e-29	2.47734652826344	vocal learning	asymmetric, glutamatergic, excitatory synapse
GO:0042813	12	GO:0062009	9	22	0.346938775510204	4.90590376463669e-32	2.47693368927379	Wnt receptor activity	secondary palate development
GO:0004596	7	GO:0010698	4	12	0.0258673469387755	1.82943313415789e-28	2.4740799044489	protein-N-terminal amino-acid acetyltransferase activity	acetyltransferase activator activity
GO:0000813	10	GO:1904903	8	20	0.285714285714286	4.11505784414447e-30	2.47331485532987	ESCRT I complex	ESCRT III complex disassembly
GO:0002178	3	GO:0017059	8	12	0.0270918367346939	3.18320399241226e-28	2.47187983405738	palmitoyltransferase complex	serine palmitoyltransferase complex
GO:0002115	7	GO:0034703	9	13	0.0606887755102041	2.29962981784945e-26	2.47004856758939	store-operated calcium entry	cation channel complex
GO:0034473	3	GO:0071051	7	15	0.126275510204082	2.24846504788554e-26	2.46941942359792	U1 snRNA 3'-end processing	poly(A)-dependent snoRNA 3'-end processing
GO:0034476	3	GO:0071051	7	15	0.126275510204082	2.24846504788554e-26	2.46941942359792	U5 snRNA 3'-end processing	poly(A)-dependent snoRNA 3'-end processing
GO:0150059	4	GO:1903143	3	12	0.028469387755102	5.75223299494306e-28	2.46941274912017	amylin receptor 1 signaling pathway	adrenomedullin receptor complex
GO:0001605	3	GO:0150059	4	12	0.028469387755102	5.75223299494306e-28	2.46941274912017	adrenomedullin receptor activity	amylin receptor 1 signaling pathway
GO:0004430	4	GO:0016303	3	12	0.0292602040816327	7.98516144741331e-28	2.46800026260412	1-phosphatidylinositol 4-kinase activity	1-phosphatidylinositol-3-kinase activity
